Category,Subcategory,Date,Approval Authority Level,Notes,Amount
Employee Compensation,Benefits,2021-01-09,3,Statement food bill owner fill sing.,1.11
Cost of Goods Sold,,2021-01-10,1,Walk civil between through feeling boy.,3.29
R&D,,2021-01-10,1,Watch three director.,11.76
Marketing,,2021-01-10,1,Mention once imagine without.,1.09
Admin Expenses,,2021-01-10,3,Him necessary yourself wait final record movement.,3.4
Employee Compensation,Base Salary,2021-01-10,2,Imagine animal style suffer safe.,1.71
Cost of Goods Sold,,2021-01-11,2,Hospital environment focus before.,5.73
R&D,,2021-01-11,1,Deal able do.,1.63
Marketing,,2021-01-11,1,Trouble order detail or theory.,11.45
Admin Expenses,,2021-01-11,1,Month among attention brother.,2.89
Employee Compensation,Base Salary,2021-01-11,3,Apply two try school.,1.01
Cost of Goods Sold,,2021-01-12,2,Check require prevent.,2.11
R&D,,2021-01-12,1,Realize federal employee movement still suffer.,4.79
Marketing,,2021-01-12,3,Pay successful deep.,11.03
Admin Expenses,,2021-01-12,2,Assume edge business learn travel indicate appear.,5.7
Employee Compensation,Benefits,2021-01-12,3,Poor together ball million.,1.85
Cost of Goods Sold,,2021-01-13,1,Worker together create without early.,6.12
R&D,,2021-01-13,1,Shake pick weight really detail.,3.96
Marketing,,2021-01-13,2,Concern share here plant.,4.7
Admin Expenses,,2021-01-13,1,Over ready black hand or finish follow none.,9.22
Employee Compensation,Taxes,2021-01-13,1,Especially evening him rate their over.,1.05
Cost of Goods Sold,,2021-01-14,3,House everybody goal change certain.,8.19
R&D,,2021-01-14,1,Hand bank generation difference most including city.,6.92
Marketing,,2021-01-14,1,Let true similar military rate city.,4.51
Admin Expenses,,2021-01-14,2,Such cause down off speak matter old claim.,7.32
Employee Compensation,Base Salary,2021-01-14,3,Lead miss resource shake care agent clearly course.,1.74
Cost of Goods Sold,,2021-01-15,3,Alone talk company education.,11.72
R&D,,2021-01-15,3,Face view project energy eat figure participant.,1.87
Marketing,,2021-01-15,2,Third top add responsibility particularly teach represent.,7.14
Admin Expenses,,2021-01-15,1,Ability no something drop teacher likely red.,10.16
Employee Compensation,Bonuses,2021-01-15,2,Free doctor would live it civil.,1.85
Cost of Goods Sold,,2021-01-16,3,Here blood modern stand southern list never.,3.24
R&D,,2021-01-16,3,Wind relationship national state wear huge lay.,7.63
Marketing,,2021-01-16,1,Last walk move radio money.,11.6
Admin Expenses,,2021-01-16,3,Site student admit miss race near.,9.86
Employee Compensation,Base Salary,2021-01-16,1,Drug individual surface today simply card.,1.12
Cost of Goods Sold,,2021-01-17,3,Career officer more east join mission stage meet.,10.09
R&D,,2021-01-17,2,Serve if common expert.,11.98
Marketing,,2021-01-17,3,In capital trip fly.,10.15
Admin Expenses,,2021-01-17,1,Alone public us long join TV.,9.91
Employee Compensation,Taxes,2021-01-17,1,Dream where media.,1.87
Cost of Goods Sold,,2021-01-18,3,System near nature federal far.,5.49
R&D,,2021-01-18,1,Daughter to choice every energy military money.,3.6
Marketing,,2021-01-18,1,Example along natural note still law expert.,3.9
Admin Expenses,,2021-01-18,3,Later position bring change.,9.55
Employee Compensation,Base Salary,2021-01-18,1,Evidence future already short campaign.,1.38
Cost of Goods Sold,,2021-01-19,2,I budget child trouble next tough serve.,4.54
R&D,,2021-01-19,3,Project pretty special possible drive.,7.51
Marketing,,2021-01-19,2,Fear public building loss modern ever.,7.83
Admin Expenses,,2021-01-19,3,That cup make media yourself share manage.,5.4
Employee Compensation,Bonuses,2021-01-19,2,Wide put listen when top develop.,1.38
Cost of Goods Sold,,2021-01-20,1,Source compare newspaper area again person activity.,6.15
R&D,,2021-01-20,3,Maintain despite better statement even artist.,2.75
Marketing,,2021-01-20,2,Against piece cultural test write oil standard.,4.22
Admin Expenses,,2021-01-20,2,By leader help sell.,6.77
Employee Compensation,Taxes,2021-01-20,3,Avoid number foreign upon.,1.21
Cost of Goods Sold,,2021-01-21,2,Foreign successful should newspaper water firm Mrs.,5.26
R&D,,2021-01-21,1,Source center few themselves not.,11.96
Marketing,,2021-01-21,2,Majority risk run never kind quickly prevent of.,4.75
Admin Expenses,,2021-01-21,1,Certain community involve policy toward state community.,5.34
Employee Compensation,Bonuses,2021-01-21,1,All ability keep low.,1.09
Cost of Goods Sold,,2021-01-22,2,Thousand house late memory.,10.79
R&D,,2021-01-22,1,Music expert identify dog.,6.07
Marketing,,2021-01-22,1,Stay hot seem.,2.87
Admin Expenses,,2021-01-22,1,Fund life police author fine free.,7.39
Employee Compensation,Taxes,2021-01-22,2,Within indicate reflect agency old.,1.48
Cost of Goods Sold,,2021-01-23,1,Officer possible situation action.,3.86
R&D,,2021-01-23,3,Course agreement career include.,7.4
Marketing,,2021-01-23,1,Herself fish next article we arrive resource.,11.6
Admin Expenses,,2021-01-23,1,Beyond never store local artist catch information law.,4.74
Employee Compensation,Bonuses,2021-01-23,2,Drive debate room.,1.38
Cost of Goods Sold,,2021-01-24,1,World vote walk by exactly since doctor.,9.5
R&D,,2021-01-24,3,Two state example edge dog.,5.91
Marketing,,2021-01-24,2,Range personal effort.,6.46
Admin Expenses,,2021-01-24,1,Film early accept air.,6.13
Employee Compensation,Bonuses,2021-01-24,2,Treatment its surface behavior still.,1.23
Cost of Goods Sold,,2021-01-25,2,Maybe eight door reason save.,7.31
R&D,,2021-01-25,3,Seem medical him economic production story office.,8.02
Marketing,,2021-01-25,3,Set society strong country particular.,6.21
Admin Expenses,,2021-01-25,1,Fast team maybe draw image miss official.,6.91
Employee Compensation,Base Salary,2021-01-25,3,Maintain indicate appear treatment serve almost already brother.,1.67
Cost of Goods Sold,,2021-01-26,3,Less policy however suddenly alone.,10.37
R&D,,2021-01-26,1,Science project community window station develop listen.,9.89
Marketing,,2021-01-26,3,Become people until relationship.,4.42
Admin Expenses,,2021-01-26,2,Case especially sport enough wall.,4.17
Employee Compensation,Taxes,2021-01-26,3,Whole off edge executive involve.,1.2
Cost of Goods Sold,,2021-01-27,1,If firm child culture then.,10.92
R&D,,2021-01-27,2,Discuss only difficult claim stay institution develop.,4.51
Marketing,,2021-01-27,2,Expert treat western yard group year dog.,11.88
Admin Expenses,,2021-01-27,1,Movie successful particular serious accept.,3.62
Employee Compensation,Taxes,2021-01-27,2,It year body tax.,1.74
Cost of Goods Sold,,2021-01-28,1,Trip show ability forward lose.,7.9
R&D,,2021-01-28,2,Lay represent may cut trip.,8.99
Marketing,,2021-01-28,3,Give on sign born newspaper want.,6.5
Admin Expenses,,2021-01-28,2,Game suddenly probably cover why decide dinner.,4.79
Employee Compensation,Bonuses,2021-01-28,1,Religious business red difficult point reflect.,1.33
Cost of Goods Sold,,2021-02-01,2,Part president blue interesting it decide.,8.21
R&D,,2021-02-01,1,City itself crime amount contain American.,6.75
Marketing,,2021-02-01,2,Plant after piece nor meet member.,4.94
Admin Expenses,,2021-02-01,2,Win security himself keep bar.,5.16
Employee Compensation,Bonuses,2021-02-01,2,Black large pretty western.,1.78
Cost of Goods Sold,,2021-02-02,2,Decade whatever available size.,5.7
R&D,,2021-02-02,3,When quite keep consumer work education land.,10.12
Marketing,,2021-02-02,3,Prepare course success knowledge.,8.71
Admin Expenses,,2021-02-02,2,Above tonight necessary total reach someone ever.,5.72
Employee Compensation,Benefits,2021-02-02,2,Industry few never word air fall.,1.67
Cost of Goods Sold,,2021-02-03,1,Small body opportunity in.,11.63
R&D,,2021-02-03,3,Hotel fund important father.,7.43
Marketing,,2021-02-03,2,Sure yourself test owner news east.,6.23
Admin Expenses,,2021-02-03,2,Land hotel treatment up few official share.,4.46
Employee Compensation,Taxes,2021-02-03,2,Want education how actually community will.,1.23
Cost of Goods Sold,,2021-02-04,3,I industry material campaign political visit.,6.23
R&D,,2021-02-04,2,Leader news financial blue will off eat.,10.15
Marketing,,2021-02-04,2,Purpose near class.,7.63
Admin Expenses,,2021-02-04,2,Include door understand box enough yeah kind thought.,4.85
Employee Compensation,Benefits,2021-02-04,3,Very political hear listen kid paper.,1.3
Cost of Goods Sold,,2021-02-05,1,Store local admit man.,5.56
R&D,,2021-02-05,1,Painting where employee budget.,2.44
Marketing,,2021-02-05,2,Less care alone guy trouble television it.,4.08
Admin Expenses,,2021-02-05,3,Study ask culture soldier sell your data.,2.44
Employee Compensation,Bonuses,2021-02-05,1,Because remember protect lay nothing boy line.,1.77
Cost of Goods Sold,,2021-02-06,3,Send difficult plan mind.,6.61
R&D,,2021-02-06,1,Court nearly relate position call inside.,1.89
Marketing,,2021-02-06,2,Relate degree night read run campaign coach.,4.65
Admin Expenses,,2021-02-06,2,Campaign become then daughter.,6.38
Employee Compensation,Taxes,2021-02-06,3,Prepare image machine lay serious reveal.,1.7
Cost of Goods Sold,,2021-02-07,2,Hour choice number recognize.,3.88
R&D,,2021-02-07,3,Hope carry current after special meeting less.,4.77
Marketing,,2021-02-07,1,Eye open bad certainly husband yes.,10.29
Admin Expenses,,2021-02-07,3,Stop phone race before fall her model.,5.5
Employee Compensation,Bonuses,2021-02-07,1,Forget we road human.,1.3
Cost of Goods Sold,,2021-02-08,2,Peace different early return financial high.,8.11
R&D,,2021-02-08,2,Policy picture film teach arm it.,3.62
Marketing,,2021-02-08,3,Make church training star admit.,5.5
Admin Expenses,,2021-02-08,2,Truth whose both box.,6.84
Employee Compensation,Taxes,2021-02-08,1,Culture per beautiful offer production.,1.98
Cost of Goods Sold,,2021-02-09,3,None particular form ball.,7.0
R&D,,2021-02-09,3,General official run successful central hard.,3.32
Marketing,,2021-02-09,3,Box return hospital he challenge similar.,11.91
Admin Expenses,,2021-02-09,2,Heart size drive degree carry.,2.41
Employee Compensation,Taxes,2021-02-09,1,Ten painting teacher stay song when.,1.1
Cost of Goods Sold,,2021-02-10,3,Wish decision bag once nature director.,1.16
R&D,,2021-02-10,1,Stock on third arrive cell.,9.17
Marketing,,2021-02-10,3,One television all population able education leg.,6.85
Admin Expenses,,2021-02-10,2,Live year son politics sound everyone husband.,7.89
Employee Compensation,Bonuses,2021-02-10,3,Wish part fish appear hospital.,1.84
Cost of Goods Sold,,2021-02-11,1,Girl show court.,1.76
R&D,,2021-02-11,2,Final someone decision size hair seat form.,3.28
Marketing,,2021-02-11,3,College outside writer entire probably even southern along.,2.33
Admin Expenses,,2021-02-11,2,Social generation condition on.,4.96
Employee Compensation,Benefits,2021-02-11,3,Former agency process economic pattern analysis create.,1.37
Cost of Goods Sold,,2021-02-12,3,Although manage couple idea task.,10.58
R&D,,2021-02-12,1,Myself six democratic sing.,10.53
Marketing,,2021-02-12,1,Road think figure foreign quality hand newspaper.,7.69
Admin Expenses,,2021-02-12,3,Reach within gun Mrs stock name.,5.05
Employee Compensation,Bonuses,2021-02-12,1,Century almost second wish station half.,1.59
Cost of Goods Sold,,2021-02-13,3,Cover clear pass.,7.59
R&D,,2021-02-13,1,Politics debate agency least certain scene.,7.06
Marketing,,2021-02-13,1,Rise for standard agency send heart actually.,3.83
Admin Expenses,,2021-02-13,3,Crime admit alone prevent.,2.73
Employee Compensation,Benefits,2021-02-13,2,Every out along account voice arm concern.,1.36
Cost of Goods Sold,,2021-02-14,2,Water according pull beat.,2.55
R&D,,2021-02-14,1,Social small somebody be party natural watch.,2.97
Marketing,,2021-02-14,3,Early individual good movement deal American interesting.,4.71
Admin Expenses,,2021-02-14,3,Where sure fill.,1.7
Employee Compensation,Bonuses,2021-02-14,1,Dog adult edge forget material door see.,1.57
Cost of Goods Sold,,2021-02-15,2,Hour former quality success.,1.03
R&D,,2021-02-15,1,Strong around enough cold fact deal painting heavy.,8.32
Marketing,,2021-02-15,2,Evening information adult citizen cut north upon.,4.0
Admin Expenses,,2021-02-15,1,Win hit technology when young suddenly.,8.52
Employee Compensation,Taxes,2021-02-15,3,Education page time least later perform charge without.,1.58
Cost of Goods Sold,,2021-02-16,2,Surface charge worker crime look.,10.72
R&D,,2021-02-16,1,Street responsibility audience.,1.58
Marketing,,2021-02-16,2,Course any space small along keep service.,7.26
Admin Expenses,,2021-02-16,1,There middle how happen baby meeting effort.,8.31
Employee Compensation,Taxes,2021-02-16,2,Property election property leader president art generation.,1.68
Cost of Goods Sold,,2021-02-17,1,Wall tend consumer bank public contain.,3.15
R&D,,2021-02-17,2,Trial page too out.,2.41
Marketing,,2021-02-17,2,Part condition daughter receive none go.,1.52
Admin Expenses,,2021-02-17,1,Adult factor drug expert sure last.,1.38
Employee Compensation,Base Salary,2021-02-17,1,Chair within why development day.,1.37
Cost of Goods Sold,,2021-02-18,3,Both piece over professor open beyond reason central.,4.15
R&D,,2021-02-18,2,Natural bring operation black should soon media.,4.73
Marketing,,2021-02-18,1,Down respond suddenly herself detail condition win Republican.,10.84
Admin Expenses,,2021-02-18,3,Natural mother society all market.,8.12
Employee Compensation,Benefits,2021-02-18,3,That fund hit service Congress.,1.16
Cost of Goods Sold,,2021-02-19,2,Chair voice production by list.,8.01
R&D,,2021-02-19,1,Major law popular agent million.,1.88
Marketing,,2021-02-19,3,Image yet market success movie.,7.85
Admin Expenses,,2021-02-19,1,I culture take player.,10.39
Employee Compensation,Base Salary,2021-02-19,1,Operation especially somebody while development daughter.,1.31
Cost of Goods Sold,,2021-02-20,3,Politics society toward local that ability.,4.73
R&D,,2021-02-20,3,Break site arm.,3.58
Marketing,,2021-02-20,3,Trip land necessary seek during letter.,5.86
Admin Expenses,,2021-02-20,1,Price open herself analysis pay.,7.32
Employee Compensation,Taxes,2021-02-20,1,Race upon traditional officer shake.,1.39
Cost of Goods Sold,,2021-02-21,1,Employee analysis strong use camera move bag sure.,1.96
R&D,,2021-02-21,3,Land what turn reach color responsibility.,6.37
Marketing,,2021-02-21,3,Voice a out such.,9.44
Admin Expenses,,2021-02-21,1,Interesting five south because technology provide former.,10.61
Employee Compensation,Benefits,2021-02-21,3,Face let white travel financial soldier.,1.72
Cost of Goods Sold,,2021-02-22,1,Special pattern every government.,9.25
R&D,,2021-02-22,3,Stay quickly risk medical close.,3.69
Marketing,,2021-02-22,2,Southern reach similar recently without general.,10.46
Admin Expenses,,2021-02-22,1,Hair simple minute own she.,2.48
Employee Compensation,Benefits,2021-02-22,3,Thus would record trial perform owner age.,1.55
Cost of Goods Sold,,2021-02-23,1,Country alone term machine keep generation describe argue.,4.0
R&D,,2021-02-23,1,Base difference visit more service film full.,10.44
Marketing,,2021-02-23,1,Lead thank simply.,5.59
Admin Expenses,,2021-02-23,3,Front many be morning.,5.91
Employee Compensation,Base Salary,2021-02-23,3,Production mention person way color central per.,1.35
Cost of Goods Sold,,2021-02-24,2,Wish treatment without opportunity animal their history.,7.51
R&D,,2021-02-24,2,Realize other paper push military.,9.23
Marketing,,2021-02-24,2,Edge other identify give maintain show.,4.52
Admin Expenses,,2021-02-24,3,Family full skill market nothing return.,10.38
Employee Compensation,Bonuses,2021-02-24,1,Story bank method inside look exist.,1.79
Cost of Goods Sold,,2021-02-25,2,Arm quickly good father.,6.97
R&D,,2021-02-25,3,Determine side decision physical price yard.,11.06
Marketing,,2021-02-25,1,Later add whom education current special.,7.68
Admin Expenses,,2021-02-25,1,Natural save wide.,11.75
Employee Compensation,Taxes,2021-02-25,2,Century pick level everyone energy boy security.,1.21
Cost of Goods Sold,,2021-02-26,1,Cause with my white.,3.13
R&D,,2021-02-26,1,Human new wind truth exist.,5.69
Marketing,,2021-02-26,1,Between charge subject case kind.,11.49
Admin Expenses,,2021-02-26,3,Hour security cut cell.,9.03
Employee Compensation,Taxes,2021-02-26,3,Remember test hold employee late product.,1.85
Cost of Goods Sold,,2021-02-27,3,Several experience technology administration.,10.16
R&D,,2021-02-27,3,Office participant force.,3.94
Marketing,,2021-02-27,2,Able health suddenly determine determine same.,5.98
Admin Expenses,,2021-02-27,1,Keep certainly before live.,5.67
Employee Compensation,Bonuses,2021-02-27,3,Side enough one cover arm citizen.,1.37
Cost of Goods Sold,,2021-02-28,2,Side too free could go.,9.29
R&D,,2021-02-28,3,Look turn nature better guess.,6.99
Marketing,,2021-02-28,1,Hold word public tonight.,2.94
Admin Expenses,,2021-02-28,2,Old teach rich.,2.57
Employee Compensation,Benefits,2021-02-28,3,Page above another summer agree onto.,1.01
Cost of Goods Sold,,2021-03-01,1,Hope attention ever Congress up station.,2.81
R&D,,2021-03-01,1,Stage subject arrive thousand medical main what.,8.95
Marketing,,2021-03-01,3,Stay produce skill become benefit.,1.3
Admin Expenses,,2021-03-01,3,Remain while act mind consider mind.,8.87
Employee Compensation,Base Salary,2021-03-01,1,Reveal time know indeed research find chair.,1.18
Cost of Goods Sold,,2021-03-02,3,Thank machine worker defense.,2.15
R&D,,2021-03-02,3,Ok good kind too.,2.9
Marketing,,2021-03-02,1,Center speak during blood.,7.88
Admin Expenses,,2021-03-02,2,Less fine glass available identify organization make.,9.78
Employee Compensation,Taxes,2021-03-02,3,Consumer serve both program though amount director.,1.03
Cost of Goods Sold,,2021-03-03,3,Live produce whose threat political hit.,1.93
R&D,,2021-03-03,2,Administration simple last believe.,7.51
Marketing,,2021-03-03,3,Film benefit toward property.,4.77
Admin Expenses,,2021-03-03,1,Mission best city try.,4.63
Employee Compensation,Bonuses,2021-03-03,2,Program chance office seat.,1.41
Cost of Goods Sold,,2021-03-04,2,Change plan class visit paper trade budget.,4.16
R&D,,2021-03-04,1,Despite action represent loss dinner true painting.,2.12
Marketing,,2021-03-04,2,Heavy good sell store especially bag.,3.83
Admin Expenses,,2021-03-04,3,Hundred long concern suffer and memory.,3.61
Employee Compensation,Base Salary,2021-03-04,3,Military major minute radio financial determine no.,1.67
Cost of Goods Sold,,2021-03-05,1,Commercial even drive it attack movie authority.,6.87
R&D,,2021-03-05,1,Truth get detail sound seven.,6.75
Marketing,,2021-03-05,2,Want health least condition attack generation three begin.,4.24
Admin Expenses,,2021-03-05,3,Clear knowledge already thus really head.,8.34
Employee Compensation,Bonuses,2021-03-05,3,Yes air wish outside throughout.,1.84
Cost of Goods Sold,,2021-03-06,1,Create play rate.,3.8
R&D,,2021-03-06,3,Include wear next hear arrive tree.,11.84
Marketing,,2021-03-06,1,Reflect material sea watch fall degree.,11.27
Admin Expenses,,2021-03-06,1,Fast agree phone go black each yet hit.,6.43
Employee Compensation,Benefits,2021-03-06,1,Minute address response describe.,1.76
Cost of Goods Sold,,2021-03-07,1,True course bill memory speak better clear.,8.01
R&D,,2021-03-07,1,Mind able hot their concern great.,7.38
Marketing,,2021-03-07,3,Rise base agent admit analysis fly same cell.,8.69
Admin Expenses,,2021-03-07,1,Deep son action throughout just whether discuss.,5.45
Employee Compensation,Benefits,2021-03-07,3,Price suffer laugh worry hard third.,1.31
Cost of Goods Sold,,2021-03-08,3,Respond remember challenge red move.,9.91
R&D,,2021-03-08,2,Minute bank position office because prove line.,3.66
Marketing,,2021-03-08,1,Should rise write nation store six agree black.,5.0
Admin Expenses,,2021-03-08,3,Budget would per participant attention turn.,4.87
Employee Compensation,Bonuses,2021-03-08,1,Behind paper hospital weight debate media.,1.56
Cost of Goods Sold,,2021-03-09,3,Will box word thousand election.,8.79
R&D,,2021-03-09,3,Each production when skin know.,9.88
Marketing,,2021-03-09,3,Day church indeed alone recognize east teacher.,6.58
Admin Expenses,,2021-03-09,3,Most movement check.,2.99
Employee Compensation,Taxes,2021-03-09,2,Should professor much last.,1.8
Cost of Goods Sold,,2021-03-10,2,Brother why media player realize yourself perhaps.,8.14
R&D,,2021-03-10,2,Over fall tree four cup then create.,11.54
Marketing,,2021-03-10,1,Here bit hand development.,7.81
Admin Expenses,,2021-03-10,3,Away account age shoulder environment investment.,9.97
Employee Compensation,Base Salary,2021-03-10,1,Past person speak billion seven.,1.94
Cost of Goods Sold,,2021-03-11,3,Administration he where.,3.7
R&D,,2021-03-11,3,During artist discover open imagine food.,6.25
Marketing,,2021-03-11,3,Step role increase.,3.68
Admin Expenses,,2021-03-11,2,Piece receive image yeah care.,9.65
Employee Compensation,Bonuses,2021-03-11,2,Policy knowledge feel enter choice run garden.,1.56
Cost of Goods Sold,,2021-03-12,1,Tree resource success single respond radio better.,11.86
R&D,,2021-03-12,2,Behind push break cover plan world.,4.62
Marketing,,2021-03-12,3,Order create possible four rise couple.,2.04
Admin Expenses,,2021-03-12,3,Executive economy argue and edge focus newspaper news.,11.6
Employee Compensation,Bonuses,2021-03-12,1,Choose blood though ask early may learn rock.,1.95
Cost of Goods Sold,,2021-03-13,2,Range loss character imagine your factor.,6.3
R&D,,2021-03-13,3,City scene audience nation president ever town deal.,1.56
Marketing,,2021-03-13,2,Hotel agreement get American interview road market air.,10.01
Admin Expenses,,2021-03-13,3,Radio ten result among do around Mr.,2.73
Employee Compensation,Taxes,2021-03-13,1,Democratic serve require have product.,1.45
Cost of Goods Sold,,2021-03-14,3,Reach huge truth imagine.,8.61
R&D,,2021-03-14,2,Name property eight fill score.,7.28
Marketing,,2021-03-14,2,Just speak happen family.,8.17
Admin Expenses,,2021-03-14,1,Manage hospital cup little word cultural.,8.21
Employee Compensation,Base Salary,2021-03-14,2,Before claim author record.,1.7
Cost of Goods Sold,,2021-03-15,2,Claim become but spring.,1.09
R&D,,2021-03-15,2,Forward tax image.,3.92
Marketing,,2021-03-15,2,I happy force growth baby ok unit look.,6.37
Admin Expenses,,2021-03-15,3,Learn magazine rule white.,3.69
Employee Compensation,Base Salary,2021-03-15,3,Run head letter movie stage dinner capital.,1.98
Cost of Goods Sold,,2021-03-16,2,Group cost interesting stand bit water a.,5.33
R&D,,2021-03-16,3,Same fund wear character wonder energy.,11.7
Marketing,,2021-03-16,3,Dinner reflect how hotel.,4.16
Admin Expenses,,2021-03-16,3,Raise water near while until table play.,1.3
Employee Compensation,Base Salary,2021-03-16,1,See trial tonight.,1.19
Cost of Goods Sold,,2021-03-17,3,Success also mother security while little.,2.99
R&D,,2021-03-17,1,South home expert him account decision.,11.55
Marketing,,2021-03-17,3,Very officer late less decision cell.,6.12
Admin Expenses,,2021-03-17,3,Find into phone computer response.,5.61
Employee Compensation,Benefits,2021-03-17,1,Option term magazine white win next.,1.21
Cost of Goods Sold,,2021-03-18,1,Few official dinner stuff.,8.66
R&D,,2021-03-18,2,Accept much old writer game difficult man.,2.16
Marketing,,2021-03-18,2,Either sit TV large.,11.76
Admin Expenses,,2021-03-18,2,Skin thank sport off total south.,1.08
Employee Compensation,Taxes,2021-03-18,2,Source part special we grow gun.,1.46
Cost of Goods Sold,,2021-03-19,2,Act hit cover exactly pass quite others.,8.07
R&D,,2021-03-19,2,Knowledge view true enough.,8.27
Marketing,,2021-03-19,2,Wall magazine arrive.,9.44
Admin Expenses,,2021-03-19,2,Quite sell level challenge.,10.57
Employee Compensation,Taxes,2021-03-19,2,Likely fact use test occur coach fish.,1.79
Cost of Goods Sold,,2021-03-20,1,Hear friend idea whether purpose attack.,4.02
R&D,,2021-03-20,1,Free democratic attention.,7.29
Marketing,,2021-03-20,1,Ball bar station rule full act for.,8.3
Admin Expenses,,2021-03-20,2,Industry option play TV finish.,9.38
Employee Compensation,Taxes,2021-03-20,3,Shake only level pressure fish.,1.22
Cost of Goods Sold,,2021-03-21,1,Modern though throughout.,8.97
R&D,,2021-03-21,2,Decision cost no less ever peace quickly.,9.54
Marketing,,2021-03-21,1,Floor figure station significant one.,2.24
Admin Expenses,,2021-03-21,3,Industry notice behind impact however this data.,6.08
Employee Compensation,Taxes,2021-03-21,2,I media create serve ground great.,1.21
Cost of Goods Sold,,2021-03-22,3,Oil information money can prove.,1.38
R&D,,2021-03-22,1,Town believe heavy.,5.55
Marketing,,2021-03-22,3,Attack perhaps front bag report military building risk.,5.1
Admin Expenses,,2021-03-22,1,Human travel be data exactly.,1.63
Employee Compensation,Taxes,2021-03-22,3,Usually term create.,1.68
Cost of Goods Sold,,2021-03-23,1,Only lawyer such cell huge medical.,7.36
R&D,,2021-03-23,2,Clear interest always begin meeting threat.,11.61
Marketing,,2021-03-23,1,Support Democrat glass pressure yes.,11.38
Admin Expenses,,2021-03-23,1,Themselves enjoy wall father not area.,1.34
Employee Compensation,Benefits,2021-03-23,2,Shake notice respond us quite wife.,1.65
Cost of Goods Sold,,2021-03-24,2,Enter economy maybe century represent.,11.4
R&D,,2021-03-24,1,Process ahead century movie know sister activity.,10.21
Marketing,,2021-03-24,1,Machine ability close special everybody toward tell.,2.38
Admin Expenses,,2021-03-24,2,Attention recently exist know.,11.68
Employee Compensation,Benefits,2021-03-24,1,Meet ground modern star by continue agency.,1.96
Cost of Goods Sold,,2021-03-25,3,Age respond culture try upon.,9.43
R&D,,2021-03-25,3,First art surface.,10.08
Marketing,,2021-03-25,2,Class nation really explain could thought difficult.,7.32
Admin Expenses,,2021-03-25,2,Center amount history wide station almost.,7.17
Employee Compensation,Taxes,2021-03-25,1,Treat article crime.,1.84
Cost of Goods Sold,,2021-03-26,3,Range mother section development single.,8.65
R&D,,2021-03-26,2,Try car system design loss.,10.97
